,kpa,kSTATbinding,kSOCSon,kd4,k_d4,delR,meanR,kloc,kSOCSmRNA,mRNAdeg,mRNAtrans,kSOCS,gamma
270,33.6881542570189,0.005829235440855605,0.0006646340151457822,582.6686600076395,840.1181735134961,-9592.919489199918,4976.311562525844,0.4688223934153877,7.849197211529505e-05,0.00023673112508012294,0.008386855474982427,5.388734114758555,1.8962324156121972
300,41.9489086926217,0.007641038122861202,0.00035920911454080065,358.8018157610643,512.5801443172014,-8007.841909046801,4501.748265080986,0.2529235402501438,6.951201029081096e-05,0.00038141117140387147,0.018752521169077278,6.041023297237982,0.7390492253664067
330,23.731141646896702,0.010730263747129652,0.000323097030703324,711.8895028582862,1535.7863507905324,-9232.193360815601,4914.111636956118,0.20705334047883844,9.50659914221221e-05,0.0012703348812057118,0.023383042519914205,29.22564543832301,1.7166342360532225
360,34.22064575853813,0.028304679802230278,0.0011084738036895145,3113.7009971194248,7976.199943000471,-6947.2202373095815,4073.524801457773,0.13514815602795324,0.000137714117067287,0.0018552781825026373,0.022635663895460352,42.97315995985772,2.1554352853540126
390,26.11155852358557,0.28565048070834365,0.0016065389124495313,14129.96947090852,182970.72864831056,-3006.1896067289435,5638.410265629714,0.04959286542813983,0.00011177153278848789,0.0012655137462038806,0.019976013872478465,120.1258155741998,0.8920748072652703
420,22.214007531475943,0.5715317566361358,0.0019261120429978022,24737.00351009414,262962.1613300973,3428.6844564554362,5748.961145370685,0.04271678283341922,0.0001481259003718801,0.0009152299979148707,0.027599132808775444,194.85824331879724,0.8654911557778446
450,18.440493372220704,0.4418308356665026,0.003626329502688375,30531.45964697545,416445.60181216476,1121.7376993333473,4572.137283069939,0.04012450791840936,7.603567344408732e-05,0.0010584086106080355,0.03054323411093087,357.8766296374778,1.7607925079630937
480,39.58175359729305,2.1524010166331244,0.008124788477646465,31736.992104390753,586537.5840863832,2583.718342073779,3422.2331383912892,0.0647066337561688,0.0001269930540682686,0.001144158515456805,0.03239232535311471,400.6951350807161,1.2152526888654411
510,30.6666881077724,9.631376497818033,0.008004917038228341,36387.17554899196,3716863.0965290056,2378.0958166648215,4011.3703578261106,0.046671533577229814,0.00012770079575670712,0.0007906661685815149,0.0714251928010697,569.0522976250453,1.0379802398218707
540,29.485750070730056,18.92049408270403,0.005860607227126296,63559.79647855938,14045660.337513316,4440.102216015209,5331.642619777996,0.09519977328825006,0.0003026589734534429,0.0011153872715850346,0.031847141930714834,1918.4205780342213,1.22672252275857
570,46.41287015437229,65.11937094952398,0.009691009918282562,45021.51417835856,24273648.374434657,2323.4559603274784,4522.638111953393,0.15184797103033484,0.0006272326478103889,0.0005478547941333288,0.1551686026042957,1811.681160673939,1.0269760187711832
